DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumBuildings,NmbFloors,PropertyGFATotal,PropertyGFAParking,GFABuilding_s,All_UseTypes,Largest_UseType,LargestUseType_GFA,Second_UseType,SecondUseType_GFA,Third_UseType,ThirdUseType_GFA,ENERGYSTARScore,SiteEUI_kBtu_sf,SiteEUIWN_kBtu_sf,SourceEUI_kBtu_sf,SourceEUIWN_kBtu_sf,SiteEnergyUse_kBtu,SiteEnergyUseWN_kBtu,SteamUse_kBtu,Electricity_kBtu,NaturalGas_kBtu,TotalGHGEmissions,GHGEmissionsIntensity
2016,NonResidential,Warehouse,2,GREATER DUWAMISH,1961,3.0,2,714095,0,714095,"Non-Refrigerated Warehouse, Office, Refrigerated Warehouse",Non-Refrigerated Warehouse,714095.0,Aucun,0.0,Aucun,0.0,,62.64033917055854,45.79999924,145.8999939,143.8000031,44731153.0,44110016.0,0.0,44731153.0,0.0,311.84,0.44
2016,SPS-District K-12,K-12 School,7,MAGNOLIA / QUEEN ANNE,1990,1.0,2,54986,0,54986,K-12 School,K-12 School,54986.0,Aucun,0.0,Aucun,0.0,97.0,30.01271232677409,32.79999924,77.80000305,83.19999695,1650279.0,1802471.375,0.0,1217589.0,432690.0,31.47,0.57
2016,NonResidential,Small- and Mid-Sized Office,6,BALLARD,1961,1.0,2,94900,0,94900,"Non-Refrigerated Warehouse, Office",Office,94900.0,Aucun,0.0,Aucun,0.0,57.0,65.18926238145416,68.90000153,163.0,165.8999939,6186461.0,6536359.5,0.0,4291585.0,1894876.0,130.56,1.38
2016,NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,1900,1.0,2,52554,0,52554,"Office, Other - Education",Office,52554.0,Aucun,0.0,Aucun,0.0,83.0,56.15806598926818,53.5,108.6999969,112.3000031,2951331.0,3150635.5,0.0,1579749.0,1371582.0,83.86,1.6
2016,NonResidential,K-12 School,6,NORTHWEST,1954,1.0,3,175015,0,175015,K-12 School,K-12 School,175015.0,Aucun,0.0,Aucun,0.0,95.0,39.96651715567237,45.09999847,74.0,80.40000153,6994740.0,7886505.5,0.0,2679739.0,4315001.0,247.85,1.42
2016,NonResidential,Self-Storage Facility,7,DOWNTOWN,1911,1.0,3,70586,0,70586,"Office, Self-Storage Facility, Vocational School",Self-Storage Facility,70586.0,Aucun,0.0,Aucun,0.0,,30.581545915620662,33.09999847,76.59999847,79.19999695,2158629.0,2331573.25,0.0,1500229.0,658400.0,45.43,0.64
2016,NonResidential,Hotel,7,DOWNTOWN,1969,1.0,24,332210,205970,126240,Hotel,Hotel,348630.0,Aucun,0.0,Aucun,0.0,67.0,48.65354143463472,46.40000153,121.8000031,121.8000031,16163193.0,16163194.0,0.0,12204406.0,3958787.0,295.33,0.89
2016,NonResidential,Large Office,7,DOWNTOWN,1973,1.0,5,168115,0,168115,"Data Center, Office, Retail Store",Office,168115.0,Aucun,0.0,Aucun,0.0,78.0,56.72402819498558,56.29999924,176.6000061,176.6000061,9536160.0,9536161.0,0.0,9536160.0,0.0,66.48,0.4
2016,NonResidential,Other,7,DOWNTOWN,1920,1.0,2,57428,0,57428,"Other - Mall, Personal Services (Health/Beauty, Dry Cleaning, etc)",Mall,57428.0,Aucun,0.0,Aucun,0.0,,21.720449954725918,21.60000038,48.79999924,48.40000153,1247362.0,1239429.75,0.0,714939.0,532423.0,33.26,0.58
2016,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,1910,1.0,8,59400,0,59400,"Office, Retail Store",Office,59400.0,Aucun,0.0,Aucun,0.0,14.0,85.38675084175084,88.30000305,398.7000122,412.2000122,5071973.0,5242479.5,0.0,5071973.0,0.0,35.36,0.6
2016,NonResidential,Mixed Use Property,7,DOWNTOWN,1926,1.0,2,52549,0,52549,"Office, Other - Entertainment/Public Assembly, Restaurant",Entertainment/Public Assembly,52549.0,Aucun,0.0,Aucun,0.0,,285.94637386058724,299.0,485.2999878,495.5,15026196.0,15683742.0,0.0,4632459.0,10393737.0,584.31,11.12
2016,NonResidential,Hotel,7,DOWNTOWN,1930,1.0,20,98634,10043,88591,"Hotel, Parking, Restaurant",Hotel,83591.0,Parking,10043.0,Restaurant,5000.0,71.0,49.08395685057891,57.29999924,158.6000061,167.0,4841347.0,5078816.0,0.0,4290059.0,551288.0,59.19,0.6
2016,NonResidential,Hotel,7,DOWNTOWN,1985,1.0,7,71150,0,71150,"Hotel, Parking, Restaurant, Retail Store",Hotel,71150.0,Aucun,0.0,Aucun,0.0,98.0,75.16947294448349,93.09999847,215.8999939,215.8999939,5348308.0,5348309.0,0.0,3243900.0,2104408.0,134.38,1.89
2016,NonResidential,Hotel,7,DOWNTOWN,1908,1.0,7,122810,0,122810,"Hotel, Other - Entertainment/Public Assembly, Retail Store",Hotel,122810.0,Aucun,0.0,Aucun,0.0,99.0,43.98075889585539,49.59999847,68.19999695,74.09999847,5401277.0,6088417.5,0.0,1293561.0,4107716.0,227.18,1.85
2016,NonResidential,Hotel,7,LAKE UNION,1959,1.0,5,113173,42546,70627,"Hotel, Parking",Hotel,70627.0,Parking,42546.0,Aucun,0.0,86.0,46.69261219548832,76.90000153,165.6999969,172.1000061,5284343.0,5428403.5,0.0,2944680.0,2339663.0,144.79,1.28
2016,NonResidential,Hotel,7,LAKE UNION,2000,1.0,7,150453,34735,115718,Hotel,Hotel,107547.0,Restaurant,3000.0,Aucun,0.0,84.0,44.63312130698623,61.79999924,128.0,129.8000031,6715187.0,6835263.5,0.0,3396109.0,3319078.0,199.95,1.33
2016,NonResidential,Hotel,7,LAKE UNION,1997,1.0,6,116300,28200,88100,Hotel,Hotel,88490.0,Parking,28300.0,Aucun,0.0,80.0,50.10829750644884,67.09999847,144.5,147.1000061,5827595.0,5941927.0,0.0,3188457.0,2639138.0,162.39,1.4
2016,NonResidential,Hotel,7,MAGNOLIA / QUEEN ANNE,1998,1.0,6,155602,36744,118858,Hotel,Hotel,155602.0,Aucun,0.0,Aucun,0.0,81.0,43.93837482808704,44.0,107.4000015,107.5999985,6836899.0,6849826.5,0.0,4558937.0,2277962.0,152.76,0.98
