,SiteEnergyUse_kBtu,TotalGHGEmissions
1041,1896626.0,13.22
78,1950093.0,100.46
1016,3275779.0,152.14
346,2094725.0,26.04
396,2661488.0,60.7
389,15725578.0,116.95
385,8138615.75,282.46
740,9155567.0,220.26
119,26659242.0,780.84
947,6129779.0,42.73
959,4262317.0,93.5
229,11319835.0,374.92
1105,1031668.0,17.41
21,11061916.0,328.63
1299,13998637.0,202.12
846,12250420.0,326.74
250,2755829.0,74.1
243,7851334.0,61.93
914,416886.0,2.91
35,5401277.0,227.18
593,2147968.25,120.91
671,1074989.0,7.49
507,686019.0,16.27
930,1167888.0,40.85
1095,1264627.0,18.19
1055,904236.0,6.3
109,1377627.0,72.88
757,531737.0,3.71
379,2478025.0,17.28
614,248616.0,1.73
604,1361794.0,43.13
627,651293.0,18.85
660,1291405.0,9.0
582,350265.0,6.69
723,9190441.0,234.03
171,23262243.375,741.3
677,1217509.0,8.49
238,61750777.5,1268.87
700,8476182.0,101.34
884,882896.0,6.16
1014,3740373.0,35.48
709,1253745.0,34.87
1281,25959640.0,809.76
321,15640992.0,295.48
120,1380293.8125,44.22
1157,942415.0,6.76
155,2746560.0,70.17
1108,2470566.0,120.86
624,1577041.0,61.53
138,4178233.0,31.97
125,24755084.0,172.58
456,4052720.0,31.43
66,4253577.0,133.58
1000,1608509.0,17.6
1107,14585812.0,393.07
1149,1103595.0,7.69
626,1086678.0,47.59
605,1811506.0,13.16
1290,2159170.0,51.39
999,2833624.0,112.82
178,11688600.0,162.45
1256,2193115.0,32.72
415,6468089.0,75.29
100,1677002.0,28.27
866,1625309.0,46.45
1012,2100216.0,61.6
741,1539066.0,10.73
334,3441643.0,64.0
114,62197171.0,433.6
681,2280352.0,15.9
220,16373229.0,114.14
391,16020640.0,111.69
1198,405062.0,2.82
309,2603931.0,63.89
1137,6197824.0,43.21
1218,1622231.0,55.73
527,3220635.0,22.65
1178,1181429.0,38.36
245,30083494.0,632.4
685,1689373.0,36.74
518,1950713.0,36.02
1227,1987334.0,66.43
856,409579.0,2.86
394,8751703.0,98.54
640,10234721.0,348.22
104,2411402.0,16.81
881,1964681.0,13.7
1027,106918.0,0.75
971,1436510.0,20.3
51,7874245.0,344.2
602,267135.0,1.86
354,3155496.0,74.18
1222,3481728.0,150.23
460,4353024.0,30.35
22,4456714.0,128.44
374,8381833.0,58.43
538,965651.0,43.8
218,55073114.0,456.22
585,716279.0,4.99
817,7240273.0,303.81
878,1994967.0,13.91
874,2282551.0,59.24
414,2417401.0,95.86
205,19397322.0,135.23
1057,1791698.0,49.53
497,13410040.0,453.76
516,2564004.0,17.87
702,2828951.0,107.45
676,2782066.0,19.39
375,2409429.0,67.29
185,18102022.0,224.36
404,10053488.0,70.09
706,5355752.0,37.34
904,1748444.0,37.08
401,14856198.0,103.57
1148,2099387.0,60.93
1059,16378151.0,588.25
441,3686962.0,150.88
132,14633231.0,563.25
745,2045592.0,77.76
173,13656585.75,355.05
690,456953.0,12.77
825,1735996.0,67.45
428,5481548.0,38.21
1221,2076289.0,54.02
1284,6335315.0,107.29
1122,1992158.0,46.01
718,17673017.0,255.83
1017,796042.0,11.44
96,430474.0,3.0
950,405050.0,2.82
635,770333.0,32.63
738,4167254.0,182.81
499,1083729.0,7.56
74,3059758.0,74.33
89,2100098.0,69.44
1283,544172.0,16.13
691,1806468.0,12.59
913,659762.0,17.04
0,7226362.0,249.98
558,1858224.0,12.95
683,1208029.0,32.86
392,5233553.0,36.49
476,19295187.0,166.13
1229,1111294.0,43.04
519,945245.0,43.84
107,65047276.0,1638.46
347,3570162.0,24.89
1097,4644346.0,190.45
1025,928585.0,9.65
223,763364.0,5.32
1029,1748644.0,58.36
327,2339814.0,107.83
1101,2037720.0,14.21
102,3928695.0,27.39
1191,965425.0,29.39
620,1096646.0,39.05
475,7439009.0,195.43
213,17666643.25,328.83
707,161311.0,1.12
135,39523847.0,275.54
852,25311524.0,1110.07
246,11963427.0,94.64
1286,2274296.0,29.4
1049,4653534.0,32.44
1173,470667.0,19.28
1028,3245111.0,22.62
1092,964924.0,17.79
1003,903542.0,6.3
981,2701834.0,78.57
365,5968154.0,180.76
248,6917478.0,122.68
736,3205182.0,22.46
26,1650279.0,31.47
836,1012024.0,32.58
284,1529510.0,42.65
417,5197118.0,155.74
907,1157977.0,8.07
680,2050601.0,40.22
898,3540226.0,109.59
3,14172605.0,505.01
134,8580277.75,222.19
837,3475804.0,184.6
355,2244317.0,15.65
292,9357229.0,204.81
698,1333432.0,9.3
1132,1594734.0,69.2
1112,3646053.0,58.79
1257,3947210.0,145.11
900,1961581.0,13.67
1002,438557.0,12.17
228,5661689.0,39.47
643,1778432.0,64.81
225,775729.0,5.44
226,4342597.0,30.27
842,3091387.0,96.15
369,1618110.0,49.25
1064,1073156.0,36.82
844,1268459.0,43.63
339,1252324.0,8.73
419,4912143.0,178.62
1217,2028126.0,63.22
603,3498215.0,134.57
1176,550324.0,20.46
265,13424078.0,237.39
454,8523594.0,89.41
63,6219842.0,243.23
1123,1072151.0,12.57
1045,1206166.0,27.75
360,1056782.0,7.37
237,48406551.0,349.07
650,1126157.0,28.09
112,2439485.0,84.57
1234,485971.0,3.39
1084,847097.5937999999,34.08
532,1636649.0,29.62
577,717056.0,8.45
810,520012.0,14.81
126,40062882.80078,398.19
259,6522551.0,45.47
1070,317794.0,13.09
