DataYear,BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,YearBuilt,NumBuildings,NmbFloors,PropertyGFATotal,PropertyGFAParking,GFABuilding_s,All_UseTypes,Largest_UseType,LargestUseType_GFA,Second_UseType,SecondUseType_GFA,Third_UseType,ThirdUseType_GFA,ENERGYSTARScore,SiteEUI_kBtu_sf,SiteEUIWN_kBtu_sf,SourceEUI_kBtu_sf,SourceEUIWN_kBtu_sf,SiteEnergyUse_kBtu,SiteEnergyUseWN_kBtu,SteamUse_kBtu,Electricity_kBtu,NaturalGas_kBtu,TotalGHGEmissions,GHGEmissionsIntensity,Age_Building,Ratio_Parking,Ratio_Building,Nombre_Usage_Type,GFA_par_Building,GFA_par_Floor,proportion_Electricity,proportion_Steam,proportion_NaturalGas,Co_stratification,LargestUseType_GFA_proportion,SecondUseType_GFA_proportion,ThirdUseType_GFA_proportion,Neighborhood_H_DOWNTOWN,Neighborhood_H_NORTHEAST,Neighborhood_H_EAST,Neighborhood_H_LAKE UNION,Neighborhood_H_GREATER DUWAMISH,Neighborhood_H_MAGNOLIA / QUEEN ANNE,Neighborhood_H_BALLARD,Neighborhood_H_NORTHWEST,Neighborhood_H_CENTRAL,Neighborhood_H_SOUTHEAST,Neighborhood_H_DELRIDGE,Neighborhood_H_NORTH,Neighborhood_H_SOUTHWEST,BuildingType_H_NonResidential,BuildingType_H_Nonresidential COS,BuildingType_H_SPS-District K-12,BuildingType_H_Campus,PrimaryPropertyType_T_Encoded,Age_Building_groupe,Age_Building_groupe_L
2016,NonResidential,Medical Office,4,NORTHEAST,1970,1.0,2,23595,0,23595,Medical Office,Medical Office,23595.0,Aucun,0.0,Aucun,0.0,72.0,34.64335664335665,34.90000153,107.1999969,107.5,817410.0,823716.875,0.0,799401.0,18009.0,6.53,0.28,46.0,0.0,100.0,1.0,23595.0,11797.5,98.0,0.0,2.0,34.0,100.0,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,145208.2185308232,"(43.0, 47.0]",8
2016,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,1900,1.0,3,28142,0,28142,Office,Office,28142.0,Aucun,0.0,Aucun,0.0,96.0,30.10083127709473,32.40000153,64.19999695,66.19999695,847097.5937999999,911154.125,340615.5938,414101.0,92381.0,34.08,1.21,116.0,0.0,100.0,1.0,28142.0,9380.667,49.0,40.0,11.0,29.0,100.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47644.3716153128,"(110.0, 116.0]",19
2016,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,1900,1.0,3,28760,0,28760,"Non-Refrigerated Warehouse, Office, Retail Store",Office,28760.0,Aucun,0.0,Aucun,0.0,,90.95875565020864,112.0,165.1999969,170.6000061,2615973.8125,2726126.75,500752.8125,572200.0,1543021.0,124.59,4.33,116.0,0.0,100.0,3.0,28760.0,9586.667,22.0,19.0,59.0,126.0,100.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47644.3716153128,"(110.0, 116.0]",19
2016,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,1902,1.0,4,39030,0,39030,"Office, Retail Store",Office,39030.0,Aucun,0.0,Aucun,0.0,99.0,18.276377145785293,20.0,47.70000076,49.29999924,713327.0,773324.6875,0.0,524342.0,188985.0,13.69,0.35,114.0,0.0,100.0,2.0,39030.0,9757.5,74.0,0.0,26.0,14.0,100.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47644.3716153128,"(110.0, 116.0]",19
2016,NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,1909,1.0,3,47215,0,47215,"Office, Retail Store",Office,47215.0,Aucun,0.0,Aucun,0.0,58.0,54.84248649793498,46.40000153,131.6000061,135.1000061,2589388.0,2136896.0,0.0,1597575.0,991813.0,63.81,1.35,107.0,0.0,100.0,2.0,47215.0,15738.333,62.0,0.0,38.0,56.0,100.0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47644.3716153128,"(105.0, 110.0]",18
2016,Nonresidential COS,Other,3,EAST,1926,1.0,2,61580,27000,34580,"Other, Parking",Other,36280.0,Parking,23154.0,Aucun,0.0,,68.19491718090289,123.8000031,313.2000122,332.3999939,4199443.0,4489734.5,0.0,3327045.0,872398.0,69.53,1.13,90.0,43.85,56.15,2.0,61580.0,30790.0,79.0,0.0,21.0,130.0,58.9,37.6,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,90580.39829884133,"(87.0, 90.0]",15
2016,NonResidential,Small- and Mid-Sized Office,3,EAST,1917,1.0,3,30720,0,30720,"Office, Retail Store",Office,30720.0,Aucun,0.0,Aucun,0.0,,41.94886067708333,44.29999924,107.3000031,109.8000031,1288669.0,1361277.25,0.0,930084.0,358585.0,25.53,0.83,99.0,0.0,100.0,2.0,30720.0,10240.0,72.0,0.0,28.0,51.0,100.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47644.3716153128,"(96.0, 105.0]",17
2016,NonResidential,Mixed Use Property,3,EAST,1916,1.0,2,20640,0,20640,"Office, Restaurant, Retail Store",Retail Store,20640.0,Aucun,0.0,Aucun,0.0,,19.988468992248063,19.29999924,60.5,60.5,412562.0,412562.4063,0.0,412562.0,0.0,2.88,0.14,100.0,0.0,100.0,3.0,20640.0,10320.0,100.0,0.0,0.0,13.0,100.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99199.8160430839,"(96.0, 105.0]",17
2016,NonResidential,Mixed Use Property,3,EAST,1912,1.0,2,34914,0,34914,"Office, Restaurant, Retail Store",Retail Store,34914.0,Aucun,0.0,Aucun,0.0,,38.18783296098986,41.79999924,133.1000061,131.1999969,1333290.0,1314474.5,0.0,1333290.0,0.0,9.29,0.27,104.0,0.0,100.0,3.0,34914.0,17457.0,100.0,0.0,0.0,46.0,100.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,99199.8160430839,"(96.0, 105.0]",17
2016,NonResidential,Small- and Mid-Sized Office,3,EAST,1906,1.0,3,20897,0,20897,"Non-Refrigerated Warehouse, Office, Retail Store",Office,20897.0,Aucun,0.0,Aucun,0.0,,46.175240465138536,60.5,148.1999969,152.3000031,964924.0,1031474.188,0.0,725243.0,239681.0,17.79,0.85,110.0,0.0,100.0,3.0,20897.0,6965.667,75.0,0.0,25.0,82.0,100.0,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,47644.3716153128,"(105.0, 110.0]",18
