,PropertyGFATotal,PropertyGFAParking,GFA_par_Building,GFA_par_Floor,GFABuilding_s,PrimaryPropertyType_T_Encoded,NumBuildings,NmbFloors,LargestUseType_GFA_proportion,SecondUseType_GFA_proportion,ThirdUseType_GFA_proportion,Ratio_Parking,Ratio_Building,Nombre_Usage_Type,proportion_Electricity,proportion_Steam,proportion_NaturalGas,Neighborhood_H_DOWNTOWN,Neighborhood_H_NORTHEAST,Neighborhood_H_EAST,Neighborhood_H_LAKE UNION,Neighborhood_H_GREATER DUWAMISH,Neighborhood_H_MAGNOLIA / QUEEN ANNE,Neighborhood_H_BALLARD,Neighborhood_H_NORTHWEST,Neighborhood_H_CENTRAL,Neighborhood_H_SOUTHEAST,Neighborhood_H_DELRIDGE,Neighborhood_H_NORTH,Neighborhood_H_SOUTHWEST,BuildingType_H_NonResidential,BuildingType_H_Nonresidential COS,BuildingType_H_Campus,BuildingType_H_SPS-District K-12,Age_Building_groupe_L,Co_stratification,ENERGYSTARScore
622,-0.5441459395636371,-0.32512581792811696,-0.5315483314945423,-0.4616499750483372,-0.5352177375130057,-0.7946208380053232,1.0,2.0,100.0,0.0,0.0,0.0,100.0,1.0,21.0,0.0,79.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13.0,39.0,87.0
564,-0.4005215720999535,-0.32512581792811696,-0.3859051442307777,-0.46575358074612033,-0.3657568968591692,0.3890279392304994,1.0,4.0,100.0,0.0,0.0,0.0,100.0,1.0,56.0,0.0,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,66.0,61.0
808,-0.47697104966294707,-0.32512581792811696,-0.46342921464828146,-0.024798802151661605,-0.4559588101149217,-0.20867931955090507,1.0,1.0,100.0,0.0,0.0,0.0,100.0,1.0,65.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,90.0,66.0
762,-0.507824862596349,-0.32512581792811696,-0.4947167164435242,-0.11995369862896947,-0.49236289090847196,-0.4969845221187181,1.0,1.0,100.0,0.0,0.0,0.0,100.0,2.0,69.0,0.0,31.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,33.0,44.0
409,0.04834739214721481,-0.32512581792811696,0.06927323372289924,-0.3102228618242012,0.16385874822957788,2.5408838362441997,1.0,6.0,100.0,0.0,0.0,0.0,100.0,2.0,72.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,18.0,73.0,86.0
986,-0.5592632539705878,-0.32512581792811696,-0.5468781386294872,-0.4849612994949023,-0.5530544935807252,-0.6809150689530434,1.0,2.0,100.0,0.0,0.0,0.0,100.0,1.0,100.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,9.0,28.0,83.0
1297,-0.524911709468519,-0.32512581792811696,-0.5120437402814533,-0.4319902506980235,-0.5125234770695457,-0.060662129925955106,1.0,2.0,100.0,0.0,0.0,0.0,100.0,5.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,77.0
829,-0.4329233453321063,-0.32512581792811696,-0.41876236483940266,-0.2901416032486635,-0.40398739929799793,-0.4969845221187181,1.0,2.0,100.0,0.0,0.0,0.0,100.0,2.0,79.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,12.0,54.0,9.0
288,-0.34233143899712,-0.32512581792811696,-0.3268970761566585,0.39043733875273057,-0.2970989870107013,-0.6809150689530434,1.0,1.0,100.0,0.0,0.0,0.0,100.0,2.0,58.0,0.0,42.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,30.0,96.0
630,0.2141965172619014,0.9879203717832933,0.23745357535411665,-0.13170382504281983,-0.07183513608835682,2.5408838362441997,1.0,5.0,56.49999999999999,40.3,3.2,40.3,59.7,3.0,100.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,80.0,62.0
